;thetaS;b;AirEntry;resid;NrIter
0;0.908028575947;0.138151010999;4.70737842557;0.0121051199206;37.0
1;0.530772402052;0.1;4.53350457935;0.00285606993565;31.0
2;0.943332922925;0.162716210711;3.02756987289;0.0132854546326;34.0
3;0.718304547527;0.1;5.24201183578;0.0116050057866;43.0
4;0.894914829235;0.1;3.2906858619;0.0421395679436;100.0
5;0.687849940087;0.1;4.9689800385;0.036738586833;67.0
6;0.682539147565;0.1;5.5311114315;0.00723140191714;68.0
7;0.625548097433;2.59103721517;4.7063652052;0.0111111300807;22.0
8;0.583750551843;2.60279340541;4.35887622286;0.016964487786;25.0
9;0.868351844407;0.1;6.55435396043;0.0100306278548;23.0
10;0.5989261236;0.1;8.1171749699;0.00415658388901;36.0
11;0.645707147225;0.51243163113;5.96562540394;0.0115770927901;21.0
12;0.538260686271;0.406330543211;6.16842707229;0.0074179678304;24.0
13;0.940296033719;0.185383687596;2.53602156923;0.0513754703655;25.0
14;0.658625374877;0.144597789687;7.01581691376;0.00502405971709;29.0
15;0.934187040865;0.211786920166;2.80901920065;0.0399099820583;38.0
16;;1.0;4.0;;2.0
17;0.692440072241;0.1;5.6872036144;0.0122091022158;67.0
18;0.634402752185;1.07310871559;5.12605280399;0.038942609132;24.0
19;0.932636060623;0.116052474632;3.62308805861;0.0389492883779;28.0
20;0.940730725833;0.187792225515;3.43623540951;0.00297147357311;26.0
21;0.566062017282;0.186953688435;5.51230433732;0.00538893607207;29.0
22;0.592602417007;1.50784751487;5.11431939974;0.0202635354758;25.0
23;0.92142945954;0.102337223115;3.09429322107;0.0344300608795;31.0
24;0.575404600524;0.1;9.44434707844;0.0151903003884;40.0
25;0.673189280936;0.1;7.11507436854;0.0150045894523;50.0
26;0.688050583841;0.1;6.39760225638;0.0130885487374;31.0
27;0.922774620502;0.1;3.10707224247;0.0339071190109;100.0
28;0.605516329642;0.1;7.14496269543;0.00670703075781;39.0
29;0.822085143919;0.166373218495;6.89433350821;0.0171421507411;22.0
30;0.550560915174;0.1;5.3754639819;0.00406866985282;47.0
31;0.634657615135;0.1;4.94104985893;0.00578281332772;100.0
32;0.628887238547;1.96328023159;4.33753369228;0.0249346164179;25.0
33;0.718678870066;0.1;5.05159587172;0.0088718134003;64.0
34;0.925904494705;0.1;4.20631757111;0.0283431808905;100.0
35;0.62234088742;0.267914316805;5.8489445337;0.00704670122735;35.0
36;0.932220316067;0.1;3.96908594543;0.0269401904014;100.0
37;0.74316022745;0.109612683142;5.7035934782;0.0143758054687;22.0
38;0.534538691141;0.190321022897;6.56499889448;0.00490181285903;49.0
39;0.571905414415;0.155794325245;6.59655488103;0.00389422907598;34.0
40;0.931268534054;0.1;3.34803724289;0.0391086752907;100.0
41;0.571318477238;0.1;6.06011143653;0.00351616060587;35.0
42;0.952104601723;0.143068896581;2.5657228058;0.0525264742721;33.0
43;0.615310059324;0.988173964988;5.53425016212;0.0089727102487;24.0
44;0.510748494196;2.42479141109;5.2813553084;0.00963312521587;23.0
45;0.509060848302;0.422286112444;5.33936950932;0.000384581719296;20.0
46;0.474094721877;1.43182957182;4.61083341872;0.0118829193316;24.0
47;0.905476460945;0.1;2.87249558346;0.055190505755;100.0
48;0.888667214613;0.1;3.11206952544;0.0856813601752;100.0
49;0.503429251999;3.26931134338;3.46850872608;0.00916348000602;22.0
50;;1.0;4.0;0.0;2.0
51;0.649177230728;1.80873879915;5.67592177871;0.00354329312326;22.0
52;0.691080309209;1.6543771529;5.94660849349;0.0141428241404;24.0
53;0.926275079932;0.1;3.33019036218;0.0745525126362;100.0
54;0.919273269787;0.1;3.27349478304;0.0768249586311;100.0
55;0.651181610155;0.117684438952;6.78859741934;0.00499573872683;19.0
56;0.946989273037;0.114194391771;3.85557732311;0.0496908320991;24.0
57;0.484606387951;2.34385268134;4.30117024785;0.0185242491336;25.0
58;0.394214663423;1.86445739366;3.41073152577;0.00844442655673;25.0
59;0.802824890291;0.100856609138;5.34794147918;0.0120213076917;18.0
60;0.551962157811;0.124235809762;5.99311432618;0.0017796397915;29.0
61;0.704384277444;0.1;6.67246159567;0.021784035746;63.0
62;0.507690583623;0.1;7.10873779824;0.00211978760126;36.0
63;0.924803446945;0.1;5.05474754956;0.0348836336609;70.0
64;0.459923302583;1.29764011294;7.11686913417;0.0187045520794;24.0
65;0.537957998452;2.99107488221;5.12813073173;0.021711716784;25.0
