;thetaS;thetaR;alpha;n;AirEntry;resid;NrIter
0;0.907290255657;0.0451831494062;0.1;10.0;1.23853450782;0.0126221689908;37.0
1;0.530772402052;0.0302226292907;0.1;10.0;1.27608547267;0.00548171797883;30.0
2;0.937115192267;0.0198112748537;0.155191311978;10.0;1.372877936;0.0152829385335;34.0
3;0.718304547527;2.96864790326e-05;0.1;10.0;1.21761142782;0.0146432926471;40.0
4;0.894914829235;0.0842161811786;0.1;10.0;1.4528045489;0.0536768346872;67.0
5;0.687849940087;0.0183304012347;0.1;10.0;1.23657387353;0.0500023710819;33.0
6;0.682539147565;0.0449660487912;0.1;10.0;1.22258269541;0.0101946563003;44.0
7;0.625548097433;0.00087276566502;0.1;0.299501628098;1.2245522612;0.00700451267723;28.0
8;0.583750551843;0.0;0.1;0.360180446795;1.22774711192;0.0126110934087;33.0
9;0.868351844407;0.0722802406556;0.1;10.0;1.18993120173;0.0150200485444;34.0
10;0.5989261236;0.0789397290403;0.1;10.0;1.15816082623;0.00522179237499;42.0
11;0.645707147225;0.0;0.1;2.04969876697;1.16846983949;0.00784435075994;53.0
12;0.538260686271;0.0661714419394;0.1;3.52469957573;1.17691653476;0.00349694893338;64.0
13;0.939532474264;0.0299113452141;0.195578916819;10.0;1.48538186499;0.0527079084466;32.0
14;0.658625374877;0.0;0.1;9.5411015646;1.14903591663;0.00416881037003;54.0
15;0.938281001191;0.0370784621081;0.215383511456;10.0;1.42018512717;0.0416741951033;30.0
16;;;1.0;1.0;1.5;1.66654061844;2.0
17;0.692440072241;0.0;0.1;10.0;1.19946226471;0.0122786662536;49.0
18;0.634402752185;3.70296774187e-05;0.1;4.91437275489;1.13946801651;0.02189574192;100.0
19;0.929858556199;0.0440590052828;0.1;10.0;1.33415525529;0.0420839737063;52.0
20;0.934803666472;0.0337430807342;0.177488650783;10.0;1.32716297914;0.00365161203941;33.0
21;0.566062017282;0.0;0.1;5.02817308226;1.19406748829;0.0039467221892;71.0
22;0.592602417007;0.0149079451993;0.1;0.86688993254;1.18505619198;0.0141401945175;35.0
23;0.921190790801;0.03364466976;0.1;10.0;1.41070022182;0.0378071695664;94.0
24;0.575404600524;0.0574369431043;0.1;10.0;1.12930122606;0.0153154949848;33.0
25;0.673189280936;0.0666316318808;0.1;10.0;1.17580106745;0.0218420906214;33.0
26;0.688050583841;0.0537848867982;0.1;10.0;1.19247466538;0.0196217472782;35.0
27;0.922774620502;0.0363973952533;0.1;10.0;1.41579060319;0.0392453270809;100.0
28;0.605516329642;0.0497274197501;0.1;10.0;1.17198757752;0.00869265462987;39.0
29;0.822085143919;0.0;0.1;8.03030705263;1.14995936223;0.0157961538177;48.0
30;0.550560915174;0.0396071894634;0.1;10.0;1.23159845934;0.00791763962386;39.0
31;0.634657615135;0.0454648915143;0.1;10.0;1.2553599609;0.0110118759192;42.0
32;0.628887238547;0.0;0.1;0.763680534458;1.20164150078;0.0157920967793;38.0
33;0.718678870066;0.0460228000193;0.1;10.0;1.24659231522;0.017078455884;37.0
34;0.925904494705;0.0387356175826;0.1;10.0;1.29611720481;0.0359543832753;49.0
35;0.622318223068;0.0;0.1;3.52273904975;1.18012339749;0.00613346436878;46.0
36;0.932220316067;0.0423971699541;0.1;10.0;1.32177681992;0.0409985855585;96.0
37;0.74316022745;0.0;0.1;10.0;1.19465017507;0.0140458189471;100.0
38;0.534429056953;0.0;0.1;5.85675444637;1.15939553149;0.00469123075967;39.0
39;0.571905414415;0.0;0.1;7.25314235551;1.16288070443;0.00319490063283;47.0
40;0.931268534054;0.0414304812786;0.1;10.0;1.38879177475;0.0468393781095;100.0
41;0.571318477238;0.0693396030438;0.1;10.0;1.21697971281;0.00525693500351;41.0
42;0.941717317816;0.0392944692433;0.171475173387;10.0;1.52619591591;0.0509781827181;32.0
43;0.615310059324;0.000207389470043;0.1;1.36785176758;1.16909674605;0.00214501597609;32.0
44;0.510748494196;0.00165895920336;0.1;0.355498248466;1.19441357713;0.00665496818813;30.0
45;0.509220186983;0.000651108267596;0.210802064328;2.32023087375;1.20359745185;0.000127885099018;38.0
46;0.474094721877;0.0;0.1;1.66929852783;1.17299768712;0.00567663603285;39.0
47;0.905476460945;0.0597291962801;0.1;10.0;1.61397172196;0.043956284276;100.0
48;0.888667214613;0.0869583693595;0.1;10.0;1.51561550157;0.0992462193831;100.0
49;0.503429251999;0.0372498637122;0.1;0.185712952834;1.37505066669;0.00669510598417;40.0
50;;;1.0;1.0;1.5;0.0;2.0
51;0.649177230728;0.0996509617726;1.77294472789;10.0;1.20198990738;0.00355496565296;40.0
52;0.691080309209;0.0478112929922;0.1;1.02003242075;1.15596090194;0.00751818029499;44.0
53;0.926275079932;0.0607618594468;0.1;10.0;1.4121721702;0.101532299335;98.0
54;0.919273269787;0.050551409035;0.1;10.0;1.41187342847;0.105046749482;100.0
55;0.651181610155;0.0;0.1;10.0;1.16082275415;0.00472212025232;38.0
56;0.942966320708;0.0453502120296;0.1;10.0;1.31271100439;0.0535670034752;30.0
57;0.484606387951;0.0;0.1;0.409099061543;1.22879406882;0.0146755701154;46.0
58;0.394214663423;0.0;0.1;0.871378128701;1.24744871245;0.00409200898252;100.0
59;0.802824890291;0.0637974889117;0.1;10.0;1.23664377393;0.0156024499983;35.0
60;0.551962157811;0.0434397848687;0.1;10.0;1.1969481885;0.00173336718401;76.0
61;0.704384277444;0.0646475677605;0.1;10.0;1.18678685143;0.0317221490813;31.0
62;0.507690583623;0.0504244064941;0.1;10.0;1.17677823792;0.00300351193249;40.0
