;Keruuv;Alue;Kohde;koeala;syvyys_cm;Lieriö;Db_x;Ds;Org;tp;WC03_x;WC1_x;WC5_x;WC10_x;WC33_x;WC100_x;WC1500_x;v03_x;v1_x;v5_x;v10_x;v33_x;v100_x;KivetM;KivetV;Huom1;Huom2;Huom3;1piste;2piste;kuoppa;Pkoord;Ikoord;B_hor;erä;pl;toisto
15;2013;;526-58;5.0;humus;614;0.108369025597;1.60879;90.54;93.2639421182;91.6871034059;39.7313733455;28.9269431171;25.5025881813;20.2774948741;18.7424392132;7.41569242163;100.0;115.384615385;100.0;100.0;92.3076923077;92.3076923077;0.0;0.0;humus;humus;;;;2.0;;;;;;
16;2013;;526-58;5.0;1-7;613;0.499193560463;2.38182;23.32;;80.0778828133;60.0318714407;48.7182606609;42.7856404727;36.2597582658;30.8059109349;13.4632503257;100.0;100.0;100.0;100.0;97.2972972973;100.0;0.0;0.0;seos;tumma multamainen, muutama juuri;;;;3.0;;;;;;
17;2013;;526-58;8.0;1-7;485;0.777259298235;2.52718;10.68;69.2440072241;51.4381485376;50.8579025375;40.7695345813;32.9757758074;22.1950688739;18.8652480779;8.22340337532;100.0;98.275862069;98.275862069;98.275862069;98.275862069;94.8989382742;0.0;0.0;mineraali;tummanruskeaa kiv.maata;;;;2.0;;;;;;
18;2013;;526-58;8.0;14-20;596;0.935576153063;2.559035;7.91;63.4402752185;52.6257562821;51.2610605765;46.1241399491;38.4251962519;35.1679508416;33.5843888437;8.01788763175;100.0;100.0;98.3050847458;100.0;98.3050847458;98.3050847458;0.0;0.0;mineraali;tummanruskeaa kiv.maata, muutama juuri;;;;2.0;;;;;;
19;2013;;526-58;8.0;humus;680;0.128733397466;1.83534;70.84;92.9858556199;81.1643899125;35.759277074;32.7885063632;28.5157312051;22.5741897836;20.1168856154;8.81180105656;100.0;100.0;95.2380952381;90.4761904762;95.2380952381;95.2380952381;0.0;0.0;humus;neulasia, humus;;;;2.0;;;;;;
20;2013;;526-58;8.0;humus;608;0.133715398194;2.050965;52.09;93.4803666472;84.3136638863;56.3319679583;34.4932070683;28.52578446;21.7560193161;19.1233328712;6.74861614683;100.0;86.8421052632;86.8421052632;86.8421052632;93.4210526316;93.4210526316;0.0;0.0;seos;tumma multamainen, matala kakku;;;;3.0;;;;;;
21;2013;;526-58;8.0;14-20;618;1.12827780949;2.60009;4.34;56.6062017282;48.8275244994;42.1072371452;36.0094338749;29.0160157492;21.1333346466;18.7386764873;6.78094963501;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;mineraali;tummanruskeaa kiv.maata;;;;3.0;;;;;;
22;2013;;526-58;8.0;1-7;670;1.03987418264;2.55248;8.48;59.2602417007;52.0628965728;51.8213932414;45.2355321208;39.9550944136;34.5767499505;32.5402894256;8.5893607486;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;seos;tummanruskea multamainen, vähän kiv.maata seassa;;;;3.0;;;;;;
23;2013;;528-52;6.0;humus;610;0.185217009414;2.350195;26.07;92.1190790801;73.0839394244;29.2788250088;26.3103465594;22.7642182496;18.1911568546;15.2387242346;6.728933952;100.0;87.5;91.6666666667;91.6666666667;100.0;95.8333333333;0.0;0.0;seos;harmaata kiv.maata seassa, kariketta, humus ?;;;;1.0;;;;;;
24;2013;;528-52;6.0;14-20;651;1.0961248684;2.581575;5.95;57.5404600524;48.7471389556;41.8537226178;40.0815021604;38.4330765144;35.3382062304;31.9305911598;11.4873886209;100.0;100.0;100.0;100.0;100.0;100.0;0.0;0.0;mineraali;ruskeaa kiv.maata, savimainen;;;;1.0;;;;;;
25;2013;;528-52;6.0;1-7;667;0.817566035347;2.50165;12.9;67.3189280936;52.5577696097;40.8122455183;39.1953462869;37.5192922056;33.9437101654;30.0920721589;13.3263263762;100.0;100.0;100.0;100.0;100.0;96.5400558586;0.0;0.0;mineraali;tummanharmaata murumaista kiv.maata;;;;1.0;;;;;;
26;2013;;528-52;6.0;1-7;487;0.789213305917;2.52994;10.44;68.8050583841;51.9473666008;41.6867385715;39.5588984077;36.5890601422;31.0410106353;26.3414863471;10.7569773596;100.0;98.3050847458;101.694915254;101.694915254;101.694915254;101.694915254;0.0;0.0;mineraali;tummanruskeaa multamaista kiv.maata, ohuita juuria;;;;2.0;;;;;;
