;thetaS;thetaR;alpha;n;m;resid;NrIter
700;0.640870797825;0.138503595035;0.105364342916;0.6168608033;0.784995355549;0.000293715753025;64.0
701;0.565425467541;0.0187836322476;10.0;1.44590864065;0.228428077836;0.0024081951852;47.0
702;0.507464329461;0.0330460112915;2.22821811758;2.75674807749;0.107688651486;0.00305357471927;40.0
703;0.666362616474;0.0727579213632;7.48250956976;3.54884301996;0.0593693658789;0.00417160540056;45.0
704;0.509609114414;0.0424772555148;0.0783343838049;0.719384426543;0.995104452529;0.00180038777428;43.0
705;0.456854001565;0.0193543451773;0.220107008327;0.774740108017;1.0;0.00400521948546;40.0
706;0.590772985914;0.0728524598591;1.21412728204;1.07862686156;0.311889711621;0.00412929685773;49.0
707;0.352283078202;0.0;0.01;0.475589235397;0.642928781401;0.00453094092246;49.0
708;0.514195951035;0.0351891634291;8.60292921897;3.17630339611;0.108046823733;0.00850128024207;40.0
709;0.365644490911;0.0;0.01;0.48523448215;0.545358916581;0.00249135170851;50.0
710;0.553345785141;0.0;6.85278592062;1.06688862552;0.151364660163;0.00127203434117;29.0
711;0.48719107741;0.00815290950896;10.0;0.844965579072;0.439085922484;0.00238739279112;51.0
712;0.434588372032;0.0;10.0;0.836373343269;0.224571116712;0.00307971947261;42.0
713;0.526053983723;0.0;0.505893146906;0.379173827167;0.903030962337;0.00319727499931;56.0
714;0.406645416519;0.0405247474225;5.80408842654;2.60461742536;0.144677099847;8.27863410155e-05;26.0
715;0.463162936984;0.0369466868595;1.2543097458;1.09347544164;0.341672612163;0.00160923998196;60.0
716;0.426040612955;0.0354315446543;2.17312910289;1.34320426868;0.257278563619;0.0012477109718;53.0
717;0.363211211011;0.0;0.147369464128;0.491946582217;1.0;0.000333940668396;46.0
718;0.374197724618;4.65658700752e-05;0.151145875467;0.48916977552;1.0;0.000322477918003;42.0
719;0.347837066075;0.0114740921784;0.176430972726;0.698734224302;0.870719362837;0.000138795652088;45.0
720;0.953147491813;0.0;3.40682161303;0.514156441221;0.375345646597;0.0269087353632;32.0
721;0.620817951624;0.0;1.75878180662;0.482132551096;0.524572297506;0.000663189908156;44.0
722;0.48984299027;0.0;0.0647147121115;0.33271984961;1.0;0.00304161110736;57.0
723;0.590272817553;0.0;2.25006670156;0.392340359399;0.491883986129;0.00425548259638;48.0
724;0.599304445725;0.0;0.0913975760267;0.309885987393;1.0;0.00763781819458;51.0
725;0.424166766649;0.0;0.0257145679396;0.347786317779;1.0;0.00166950372704;39.0
726;0.463647827806;0.00302672286043;9.16625453462;4.5609178644;0.0450654329243;0.000951456174104;100.0
727;0.443868680834;0.0192712789371;0.123971223652;0.479200137392;1.0;0.000929072079267;42.0
728;0.459902769559;0.00117142562696;0.0180660265173;0.548783168894;0.990948529851;0.000687934239945;36.0
729;0.52694590278;0.0;0.0179534967493;0.339480192925;1.0;0.0102966316219;55.0
730;0.431749122379;0.0439390560864;7.22893480782;3.14886799862;0.0817241677438;0.000576170153405;42.0
731;0.560343735815;0.0;0.0612383450469;0.332117440109;1.0;0.00338513627824;33.0
732;0.442159654351;0.0;9.01686141054;3.83736803631;0.0419549781027;0.00223501019943;65.0
733;0.436699723976;0.0375960762953;8.03862145665;2.72855886344;0.0838132728922;0.00116395840983;35.0
734;0.455336434844;0.0553443289761;0.286132198814;0.876529672599;0.721317826777;0.000914496447118;33.0
735;0.41678632541;0.00892960592922;5.72279075653;2.0037832914;0.0901119788455;0.000130609432774;88.0
736;0.314465491833;0.0123141853919;0.658794872773;1.49192166043;0.257847895085;0.000157003925942;32.0
737;0.330749850108;0.0;0.0266749189713;0.471232286002;1.0;0.000410555964793;48.0
738;0.437316096305;0.0380339549511;0.557197636425;0.827547025845;0.440089216026;8.54660510208e-05;50.0
739;0.935429038186;0.0563383308563;10.0;2.69031734535;0.0948182255896;0.0275904377139;40.0
740;0.924331369414;0.101106810934;10.0;0.91240541258;0.283047824168;0.0184181545658;34.0
